ID,Tweets
1339158238785257475,"@vijaythottathil @RahulGandhi @kcvenugopalmp After 2014 they have been revamping. But, where? 

They can’t even run… https://t.co/x3Xt9PSlZr"
1339158232200171520,"@RahulGandhi Rahul ji u r an most irresponsible political leader in my country sir,peoples struggling each and ever… https://t.co/jJJnF3eKCr"
1339158176675946496,"RT @BefittingFacts: .@RahulGandhi See how your government treats ""AnnaData"". These farmers were protesting against New Bills only. @diljitd…"
1339158165049409537,"@akashksingh399 @noneghjgj @tanurism @Multiverse_soul @RahulGandhi He was chosen after election ,
Nobody knew if Co… https://t.co/5qjIQpeijm"
1339158150683844609,"RT @SunainaHoley: So called #FarmersProtest goes to another level. 
Not only Pizza, leg massage &amp; jazz but also Liquor &amp; Sex Workers are av…"
1339158147290697729,"2002, Land grab, fake encounters, disturbing communal harmony, electoral funding, fake degree, abandoning wife, cro… https://t.co/IegSSRiNIX"
1339158146288242688,@RahulGandhi @priyankagandhi @Mandira41591906 see Congress MLC .. https://t.co/DZ11xq3C0x
1339158124368855041,@RahulGandhi No comments https://t.co/N0BCxb5mdn
1339158098733240320,"RT @Thecongressian: @RahulGandhi How PM Indira Gandhiji  split Pak into two and liberated Bangladesh .
#VijayDiwas https://t.co/nynngzaole"
1339158093624606720,"@RahulGandhi Correct your sentence , not pradhan mantari ka its pradhan mantari ko"
1339158093515509760,"RT @yippeekiyay_dk: @RahulGandhi Modi Govt's every ""patriotic decision"" creates a new ""gang"" in India.

For the sake of Akhand Bharat, Nare…"
1339158090604679168,RT @PCheppudira: @RahulGandhi The sole aim of existence of Gandhies  is to damage India and they are doing a good job of it and hence maste…
1339158085013671936,RT @RahulGandhi: Further confirmation that BJP-RSS control Facebook in India. https://t.co/rsrAoMHYIW
1339158076927037440,@prasantadu07 @Priyanka24Sri @GG_Yoga @savukku @INCIndia @RahulGandhi Oh 🤣🤣 chutiya .. how dumb you are ..ok see th… https://t.co/xX10o2D9bJ
1339158066172841985,"RT @TheAngryLord: A budding actress, Ayesha Ashfaq Khan, was raped in 2013 and has been demanding justice. I'm sure @RahulGandhi will help…"
1339158059994677248,@MajorPoonia @RahulGandhi Should all arrest
1339158023307223040,"RT @RahulGandhi: For Modi Govt:

Dissenting students are anti-nationals. 
Concerned citizens are urban naxals. 
Migrant labourers are Covid…"
1339157991946215425,@RahulGandhi Sir thoda 1962 ki bhi baat karen? When land was handed over saying not a blade of grass grows? Kuch opinion aapka
1339157979254247426,@17Shaikhfarha @RahulGandhi We want #nrc
1339157956386906112,@nidais4you @RahulGandhi Magar Tino khatm to door.... or doble ho gae....🤔🙄😊.. True 🇮🇳
1339157948279390209,"RT @VoiceOfAndhra_: @RahulGandhi Please tweet in support of #AmaravatiPeoplesCapital 
Farmers who gave their lands to the govt are protesti…"
1339157863613091842,@RahulGandhi Sam Manekshaw was the main hero of 1971 victory and it was he under whom leadership we captured 92000e… https://t.co/kwFf72v9RX
1339157842067136515,"Podcast: Future Generations Will Never Forgive Us If We Allow India to Become Like Nazi Germany
Very True!
I wasn’t… https://t.co/tpkUk8QYrl"
1339157832516599808,@RahulGandhi Neo Robin Hood!!!!
1339157827122675713,@RahulGandhi we are middle class but still the way they were increasing rate of gas we took breath of relief when f… https://t.co/rafCjAK2HV
1339157816355946497,RT @GoofyOlives: @RahulGandhi Still they kept on sending forces and support for khalistanis and separatists in NE and Kashmir. What a joke…
1339157791445929985,RT @realind68875735: @RahulGandhi Are you serious? What happened after the Mumbai attacks? Why were questions raised on the Surgical strike…
1339157775767597057,@Amit62959023 @INCIndia @KomatireddyKVR @revanth_anumula @manickamtagore @RahulGandhi @kcvenugopalmp God knows
1339157773578240000,@MajorPoonia @RahulGandhi Why was the Chairman of the MLC not allowed to sit in his rightful seat Major Sahib?
1339157718410543110,"Mulaqat !!!

@KomatireddyKVR  with @RahulGandhi . ❤️❤️❤️
In last phase of electing Telangana - Pradesh Congress Com… https://t.co/GFRnOj7tVt"
1339157698013589506,"@RahulGandhi 
You have only way for rest of your life;
Declare all your Gandhi-vadra money and asset spread across… https://t.co/8Osbg4wmSK"
1339157657567993856,@asmatasleem11 @KomatireddyKVR @RahulGandhi @kcvenugopalmp @manickamtagore That's ok. But how powerful he is to tak… https://t.co/yk00SfpoqN
1339157645089914880,"RT @TajinderSTS: @HardeepSPuri @amitmalviya @Jairam_Ramesh @RahulGandhi has badly infected his whole Congress Party with virus of Lying ,cr…"
1339157575565111297,@Hiddendanger56 @KomatireddyKVR @RahulGandhi @kcvenugopalmp @manickamtagore Done...
1339157534670790656,RT @BhalekarRhea: This is really heart wrenching why is media not demanding justice for Ayesha ? @BDUTT are you waiting for @RahulGandhi to…
1339157501862948864,"@RahulGandhi Dude, you’re not even an armchair politician you’re more like a beanbag politician offering comments o… https://t.co/0bRzDXld2N"
1339157497605550080,@RahulGandhi Its time to hit the streets and force government to take back the increased rates
1339157365887647750,"@okmansai @VinayDokania @RahulGandhi Chutia it is JOKE , you are fit case to become piddi, btw be man and put your… https://t.co/HcLkutDc4V"
1339157321583214593,@RahulGandhi What about operation bluestar
1339157318924029954,"RT @_alag_duniya: @Meenaks38351057 @RahulGandhi , please put some remark on it"
1339157308148858882,"RT @INCObaid: Patriotism has to be in heart, not in pretense. 

Pretense cannot be patriotism. Things done or used for the purposes of vote…"
1339157295872282624,@RahulGandhi Finally agreed.
1339157287936557057,"@amnesty It's 4degC in #Delhi Thousands of our countrymen r sleeping in the open,a few miles away from the PALACE o… https://t.co/yWpCVt282O"
1339157284824338432,"RT @INCObaid: Let me remind all on the occasion of #VijayDiwas that @RahulGandhi has raised Chiniese incursion issue again and again, but M…"
1339157281620045824,@RahulGandhi Yep BJP IT cell propaganda’s..#TakeBackFarmLaws #tractorstotwitter
1339157266117787648,@RahulGandhi they don't care for people who are poor now every one can't use gas pipe line those who can't use most… https://t.co/GqsUU7jJWS
1339157266084216832,@Venkyboggarapu @INCIndia @KomatireddyKVR @revanth_anumula @manickamtagore @RahulGandhi @kcvenugopalmp Why leaders of congress sleeping
1339157264930799619,"@RahulGandhi During UPA marginal #LPGPriceHike despite high global prices, PM Modi used to do such cheap Nautanki.… https://t.co/D12twxMBAz"
1339157231091126273,@Mynation_BH @satyasoochak @love_a_man @MyNation_net @MensDayOutIndia @rashtrapatibhvn @narendramodi @RahulGandhi… https://t.co/fXe26ndEjf
1339157111616376834,@RahulGandhi Pl go to Firoz khan tomb he was yr baba two flower with
1339157109489864709,@RahulGandhi Yes you were kid then now you still are a kid who can speak that is why Pakistan doesn't fear I assume… https://t.co/KFcOJ8vmwd
1339157104444108804,@vijaythottathil @RahulGandhi @kcvenugopalmp Very much necessary to revamp the party on merit to get upper hand in general elections
1339157097334771715,RT @PCheppudira: @RahulGandhi MMS has destroyed office of PM &amp; had been reduced to a remote control joke at hands of Sonia. To make matters…
1339157077592305665,"@Baliramyadav007 @RahulGandhi If biogas arrived for 150 rupees/cylinder, 90 petrol, as of now 700(+50 in a day) Coo… https://t.co/PnIHYHa5In"
1339157077592133633,@MohitCh76203174 @RahulGandhi Spne me 😂
1339157074664570880,@RahulGandhi This is done so that people who need it on a subsidized basis can get it more easily by making people… https://t.co/cvEvMF3g2X
1339157035405885441,@ShobhaBJP @INCKarnataka @RahulGandhi @payalmehta100 @davidfrawleyved @TVMohandasPai @sambitswaraj @Sunil_Deodhar… https://t.co/u8UAaqvwiM
1339157034743132160,RT @Mynation_BH: @love_a_man @MyNation_net @MensDayOutIndia @rashtrapatibhvn @narendramodi @RahulGandhi @rsprasad @RajThakre09 @ThakreUddha…
1339157031077335042,@RahulGandhi Why were u absent from the parliamentary session when the bill was discussed.. why didnt u  voice ur c… https://t.co/eXSe1rh99G
1339156965138657281,@mr_vasim30 @RahulGandhi Oh yes !! https://t.co/foQGvnEQer
1339156961900695552,@APRAHULSENAGRO @RahulGandhi Seriously https://t.co/IznOerBDxr
1339156902177955840,"For Modi Government only their corporate friends are right and everyone else is wrong.
@INCIndia @RahulGandhi https://t.co/Bb65IzR0I4"
1339156899577524225,@RahulGandhi The sole aim of existence of Gandhies  is to damage India and they are doing a good job of it and henc… https://t.co/vNdUMxTM4A
1339156897463631873,"RT @lawrencebing: Congressman @FellowcitizenES with farmers during ongoing protect 
#SpeakUpForFarmers 
@RahulGandhi @priyankagandhi @srini…"
1339156870116700162,"RT @asmatasleem11: Telangana is a child of Sonia ji, the family which is ruling must be grateful to her.
@KomatireddyKVR sir, it was your s…"
1339156825841696768,RT @DrINCsupporter: @RahulGandhi Very few leaders have the opportunity to redraw the map of the region ... that is what PM Indira Gandhi ji…
1339156811820138496,"@ANI @BJP4India has an art to bring everything around @RahulGandhi .
This protest is not lead by opposition party b… https://t.co/TPOjHNxfck"
1339156810092068864,"Dear @RahulGandhi ,come back,take charge as party’s president and lead the congress.Not alone congress needs you,In… https://t.co/nFC7YPWNZE"
1339156795550433282,@SanjaySDutt @KS_Alagiri @RahulGandhi @INCIndia @INCTamilNadu @INCPuducherry @priyankagandhi @kcvenugopalmp… https://t.co/Q8rBQJm39M
1339156766399991808,"@StudentneedsJ @RahulGandhi Wah comparing black market price and subsidy supported price.
Only true pappu followers can compare it."
1339156749811470337,"@RahulGandhi December 11th 2013 , do u know what was the LPG price in Chennai ? It was rs 1014 /- compare it to rs… https://t.co/XgnntXkGBh"
1339156708849930240,Best gift to @RahulGandhi https://t.co/8PuENU8qqG
